question,answer
What is the currency of India?,The currency of India is the Indian Rupee.
What is the currency of USA?,The currency of the USA is the US Dollar.
Which is the longest river in the world?,The Nile River is the longest river in the world.
Which is the highest mountain in the world?,Mount Everest is the highest mountain in the world.
Who was the first President of India?,Dr. Rajendra Prasad was the first President of India.
Who was the first Prime Minister of India?,Jawaharlal Nehru was the first Prime Minister of India.
What is the boiling point of water?,The boiling point of water is 100°C.
What is the freezing point of water?,The freezing point of water is 0°C.
What is the largest ocean?,The Pacific Ocean is the largest ocean in the world.
Which gas do plants absorb?,Plants absorb carbon dioxide.
Which gas do humans need to breathe?,Humans need oxygen to breathe.
Who invented the light bulb?,Thomas Edison is credited with inventing the light bulb.
Which country is known as the Land of the Rising Sun?,Japan is known as the Land of the Rising Sun.
Which is the fastest land animal?,The cheetah is the fastest land animal.
Which is the largest mammal?,The blue whale is the largest mammal.
How many continents are there?,There are seven continents.
Which is the smallest continent?,Australia is the smallest continent.
Which is the largest desert?,The Sahara Desert is the largest hot desert.
Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.
Which is the national sport of India?,Hockey is considered the national sport of India.
Who is known as the Missile Man of India?,A.P.J. Abdul Kalam is known as the Missile Man of India.
What is the full form of CPU?,CPU stands for Central Processing Unit.
What is the full form of RAM?,RAM stands for Random Access Memory.
Which organ pumps blood?,The heart pumps blood in the human body.
How many bones are in the human body?,There are 206 bones in the human body.
Which vitamin is obtained from sunlight?,Vitamin D is obtained from sunlight.
What is the speed of light?,The speed of light is approximately 3 x 10^8 m/s.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
What is the tallest animal?,The giraffe is the tallest animal.
Which is the largest country by area?,Russia is the largest country by area.
Which country has the largest population?,China has one of the largest populations in the world.
What is the national game of USA?,Baseball is often considered the national game of the USA.
Who discovered penicillin?,Alexander Fleming discovered penicillin.
What is the chemical symbol of water?,The chemical symbol of water is H2O.
Which metal is liquid at room temperature?,Mercury is liquid at room temperature.
Which is the nearest star to Earth?,The Sun is the nearest star to Earth.
What is the hardest natural substance?,Diamond is the hardest natural substance.
